label,generation,hypervolume
u2_nsgaii_nodiv,21,7436302.9653
u2_nsgaii_nodiv,22,7505961.8497
u2_nsgaii_nodiv,23,7507940.5862
u2_nsgaii_nodiv,24,7508885.5122
u2_nsgaii_nodiv,25,7512598.1997
u2_nsgaii_nodiv,26,7520666.2239
u2_nsgaii_nodiv,27,7531486.1778
u2_nsgaii_nodiv,28,7537354.3318
u2_nsgaii_nodiv,29,7562114.5558
u2_nsgaii_nodiv,30,7724395.8313
u2_nsgaii_nodiv,31,7728664.9653
u2_nsgaii_nodiv,32,7729213.9593
u2_nsgaii_nodiv,33,7726392.6529
u2_nsgaii_nodiv,34,7744846.9831
u2_nsgaii_nodiv,35,7745598.8901
u2_nsgaii_nodiv,36,7743536.0056
u2_nsgaii_nodiv,37,7725986.225
u2_nsgaii_nodiv,38,7769938.4035
u2_nsgaii_nodiv,39,7770025.6741
u2_nsgaii_nodiv,40,7773956.4421
u2_nsgaii_nodiv,41,7775650.8996
u2_nsgaii_nodiv,42,7777460.2426
u2_nsgaii_nodiv,43,7777460.2426
u2_nsgaii_nodiv,44,7778171.8976
u2_nsgaii_nodiv,45,7778171.8976
u2_nsgaii_nodiv,46,7775817.8846
u2_nsgaii_nodiv,47,7775302.8946
u2_nsgaii_nodiv,48,7772795.6256
u2_nsgaii_nodiv,49,7782719.8921
u2_nsgaii_nodiv,50,7771638.0241
u2_nsgaii_nodiv,51,7771587.2041
u2_nsgaii_nodiv,52,7831076.7655
u2_nsgaii_nodiv,53,7831076.7655
u2_nsgaii_nodiv,54,7889971.0784
u2_nsgaii_nodiv,55,7886851.3709
u2_nsgaii_nodiv,56,7886859.7949
u2_nsgaii_nodiv,57,7904869.8305
u2_nsgaii_nodiv,58,7913537.9996
u2_nsgaii_nodiv,59,7935673.8091
u2_nsgaii_nodiv,60,8005366.207
u2_nsgaii_nodiv,61,8120460.4206
u2_nsgaii_nodiv,62,8106337.5021
u2_nsgaii_nodiv,63,8104905.7526
u2_nsgaii_nodiv,64,8105353.4006
u2_nsgaii_nodiv,65,8125192.2372
u2_nsgaii_nodiv,66,8143050.6321
u2_nsgaii_nodiv,67,8145261.1834
u2_nsgaii_nodiv,68,8163398.3788
u2_nsgaii_nodiv,69,8172193.6148
u2_nsgaii_nodiv,70,8187983.6398
u2_nsgaii_nodiv,71,8188459.1098
u2_nsgaii_nodiv,72,8189308.6068
u2_nsgaii_nodiv,73,8189235.1808
u2_nsgaii_nodiv,74,8189235.1808
u2_nsgaii_nodiv,75,8190835.3488
u2_nsgaii_nodiv,76,8206081.8168
u2_nsgaii_nodiv,77,8209066.3464
u2_nsgaii_nodiv,78,8213564.7944
u2_nsgaii_nodiv,79,8231179.0309
u2_nsgaii_nodiv,80,8235299.9659
u2_nsgaii_nodiv,81,8235299.9659
u2_nsgaii_nodiv,82,8252433.5864
u2_nsgaii_nodiv,83,8252730.8744
u2_nsgaii_nodiv,84,8252730.8744
u2_nsgaii_nodiv,85,8259601.1179
u2_nsgaii_nodiv,86,8252633.3889
u2_nsgaii_nodiv,87,8252152.2035
u2_nsgaii_nodiv,88,8252612.5425
u2_nsgaii_nodiv,89,8253243.1725
u2_nsgaii_nodiv,90,8253407.2245
u2_nsgaii_nodiv,91,8247612.5203
u2_nsgaii_nodiv,92,8247978.5803
u2_nsgaii_nodiv,93,8252071.3083
u2_nsgaii_nodiv,94,8251032.1823
u2_nsgaii_nodiv,95,8252080.8133
u2_nsgaii_nodiv,96,8252080.8133
u2_nsgaii_nodiv,97,8250470.8763
u2_nsgaii_nodiv,98,8254303.0343
u2_nsgaii_nodiv,99,8256310.8338
u2_spea2_div,0,6011330.5371
u2_spea2_div,1,6631374.1628
u2_spea2_div,2,6654989.119
u2_spea2_div,3,6689200.2647
u2_spea2_div,4,6765864.644
u2_spea2_div,5,6662288.7513
u2_spea2_div,6,6761122.6677
u2_spea2_div,7,6778269.2092
u2_spea2_div,8,6802677.1926
u2_spea2_div,9,7073821.6386
u2_spea2_div,10,7101932.5521
u2_spea2_div,11,7113233.0396
u2_spea2_div,12,7233090.4239
u2_spea2_div,13,7280199.7972
u2_spea2_div,14,7302586.0652
u2_spea2_div,15,7306146.7372
u2_spea2_div,16,7326072.134
u2_spea2_div,17,7479813.1031
u2_spea2_div,18,7819965.6885
u2_spea2_div,19,7836255.6961
u2_spea2_div,20,7891718.3631
