solution_id,preference,cost,time,feasible,compliance_5,distinct_groups,n_foods,energy,protein,carbohydrate,fiber,sodium,food_ids,food_names
71,48.1,9.78,330.0,1,5,8,8,2192.46,49.95,272.79,34.34,1527.97,90;53;155;302;190;298;271;237,YAZ HELVASI | PANKEK | EKMEK LD | MUZ | ETSİZ PATATES OTURTMASI | MEYHANE PİLAVI | KREMALI DOMATES  ÇORBASI | İMAMBAYILDI
72,47.7,21.33,75.0,1,5,6,10,2025.66,51.48,210.07,23.06,2069.95,79;248;87;52;113;95;126;68;218;317,SÜT | KARPUZ | VİŞNE REÇELİ | ÖRGÜ PEYNİRİ | AYVA | AKDENİZ SALATASI LD | BROKOLİ SALATASI LD | POŞE YUMURTA | HAZIR PAKETLİ SÜTLÜ TATLI-FINDIKLI KREM ŞOKOLA | PEYNİRLİ AKDENİZ SALATASI LD
73,47.7,20.27,130.0,1,5,9,10,2210.05,63.28,220.01,23.68,1998.22,248;42;286;79;252;369;246;62;222;316,KARPUZ | KUŞBURNU MARMELATI | MANDALİNA | SÜT | KAYISI SUYU LD | TEL ŞEHRİYE ÇORBASI | KARNABAHAR SALATASI LD | PEYNİRLİ AKDENİZ SALATASI | HAZIR PAKETLİ SÜTLÜ TATLI-SAKIZLI MUHALLEBİ | PATLICAN MUSAKKA
74,46.2,13.62,232.0,1,5,9,11,2092.19,98.03,171.41,26.78,1829.88,112;86;6;362;91;78;318;247;15;68;338,AYRAN | ÜZÜM PEKMEZİ | BEYAZ PEYNIR | ŞEFTALİ SUYU LD | YER FISTIĞI EZMESİ | SOSİSLİ MİLFÖY BÖREĞİ | PEYNİRLİ MAKARNA | KARNIYARIK | DOMATES SALATALIK SÖĞÜŞ | POŞE YUMURTA | SALÇALI MAKARNA
75,43.9,7.58,310.0,0,4,7,7,2255.43,48.17,234.51,34.34,1479.66,86;35;60;190;298;271;237,ÜZÜM PEKMEZİ | KAYISI SUYU | PATATESLİ YUFKA BÖREĞİ | ETSİZ PATATES OTURTMASI | MEYHANE PİLAVI | KREMALI DOMATES  ÇORBASI | İMAMBAYILDI
76,43.8,15.4,210.0,0,4,7,9,2132.09,71.02,213.1,18.56,2109.01,89;42;79;3;302;317;314;404;268,YABAN MERSİNİ MARMELATI | KUŞBURNU MARMELATI | SÜT | AYVA REÇELİ | MUZ | PEYNİRLİ AKDENİZ SALATASI LD | PATATES SOTE | ZEYTİNYAĞLI SEMİZOTU | KÖRİ SOSLU PİLİÇ KAVURMA 
77,43.4,15.03,190.0,0,3,6,8,2153.37,106.11,173.2,18.46,1715.07,76;6;248;286;79;337;311;214,SİYAH ZEYTIN | BEYAZ PEYNIR | KARPUZ | MANDALİNA | SÜT | SALÇALI HİNDİ BİFTEK | PATATES OTURTMASI | HAVUÇ TARATOR
78,41.5,29.36,75.0,1,5,7,10,2000.92,52.34,250.4,25.24,2084.08,41;3;61;105;264;95;126;68;218;317,KURU KAYISI | AYVA REÇELİ | PERMESAN PEYNİRİ | ARMUT | KİRAZ | AKDENİZ SALATASI LD | BROKOLİ SALATASI LD | POŞE YUMURTA | HAZIR PAKETLİ SÜTLÜ TATLI-FINDIKLI KREM ŞOKOLA | PEYNİRLİ AKDENİZ SALATASI LD
79,41.2,9.87,195.0,1,5,6,6,2077.56,80.06,202.16,27.67,1606.03,105;6;60;242;150;324,ARMUT | BEYAZ PEYNIR | PATATESLİ YUFKA BÖREĞİ | KABAK MÜCVER | DOMATESLİ BİBERLİ ERİŞTE | PİLİÇ KAVURMA
80,40.4,13.23,221.0,1,5,8,9,2109.82,96.36,214.24,27.75,2160.15,94;155;50;14;395;141;383;162;292,YULAF GEVREĞİ | EKMEK LD | MEYVELİ YULAF GEVREĞİ | DİL PEYNİRİ | YOĞURTLU SEMİZOTU | ÇOBAN SALATASI LD | YOĞURTLU BUĞDAY ÇORBASI | ERİŞTE | MANTARLI PİLİÇ KAVURMA
