solution_id,preference,cost,time,feasible,compliance_5,distinct_groups,n_foods,energy,protein,carbohydrate,fiber,sodium,food_ids,food_names
20,74.1,18.42,150.0,0,2,7,9,2490.58,114.04,184.21,39.15,1499.13,248;113;29;41;76;6;238;134;77,KARPUZ | AYVA | INCİR REÇELİ | KURU KAYISI | SİYAH ZEYTIN | BEYAZ PEYNIR | İSLİM KEBABI | CEVİZLİ ERİŞTE | SOSİS
21,72.0,39.43,170.0,0,4,10,16,2361.74,102.74,292.6,48.39,1581.29,89;18;67;3;213;113;29;41;76;86;21;92;5;140;357;398,YABAN MERSİNİ MARMELATI | ELMA SUYU | PORTAKAL SUYU | AYVA REÇELİ | HAVUÇ SUYU LD | AYVA | INCİR REÇELİ | KURU KAYISI | SİYAH ZEYTIN | ÜZÜM PEKMEZİ | FINDIK EZMESİ | YEŞİL ZEYTIN | BAL | ÇOBAN KAVURMA | SUCUKLU KURU FASULYE | ZEYTİNYAĞLI BROKOLİ
22,71.6,17.76,390.0,1,5,10,13,2227.3,81.89,248.67,20.62,1526.34,90;86;93;81;87;79;211;402;150;28;271;346;168,YAZ HELVASI | ÜZÜM PEKMEZİ | YOĞURT B | ŞEFTALİ SUYU | VİŞNE REÇELİ | SÜT | HAVUÇ ÇORBASI | ZEYTİNYAĞLI KEREVİZ | DOMATESLİ BİBERLİ ERİŞTE | HİNDİ SALAMI | KREMALI DOMATES  ÇORBASI | SEBZELİ BULGUR PİLAVI | ETLİ NOHUT
23,71.3,19.04,205.0,0,4,8,9,1984.91,69.72,232.85,40.74,1558.84,113;39;79;86;248;242;126;255;222,AYVA | KREP | SÜT | ÜZÜM PEKMEZİ | KARPUZ | KABAK MÜCVER | BROKOLİ SALATASI LD | KIYMALI BEZELYE | HAZIR PAKETLİ SÜTLÜ TATLI-SAKIZLI MUHALLEBİ
24,68.8,16.26,385.0,1,5,9,12,2082.3,80.14,212.92,20.12,1513.84,90;86;93;87;79;211;402;150;28;271;346;168,YAZ HELVASI | ÜZÜM PEKMEZİ | YOĞURT B | VİŞNE REÇELİ | SÜT | HAVUÇ ÇORBASI | ZEYTİNYAĞLI KEREVİZ | DOMATESLİ BİBERLİ ERİŞTE | HİNDİ SALAMI | KREMALI DOMATES  ÇORBASI | SEBZELİ BULGUR PİLAVI | ETLİ NOHUT
25,68.8,14.5,405.0,0,4,11,12,2469.52,91.76,298.97,20.2,2031.7,79;39;331;86;248;129;185;77;181;200;192;197,SÜT | KREP | PORTAKAL SUYU LD | ÜZÜM PEKMEZİ | KARPUZ | BULGUR PİLAVI | ETSİZ KEREVİZ | SOSİS | ETSİZ HAVUÇLU YEŞİL MERCİMEK | FINDIKLI İRMİK HELVASI | ETSİZ PİRİNÇLİ ISPANAK | EZOGELİN ÇORBASI LD
26,67.4,28.65,125.0,0,2,10,12,2508.7,90.37,307.05,34.01,1472.46,6;18;67;3;213;113;29;41;224;398;156;246,BEYAZ PEYNIR | ELMA SUYU | PORTAKAL SUYU | AYVA REÇELİ | HAVUÇ SUYU LD | AYVA | INCİR REÇELİ | KURU KAYISI | HAZIR PAKETLİ SÜTLÜ TATLI-SÜTLAÇ | ZEYTİNYAĞLI BROKOLİ | EKŞİLİ KÖFTE | KARNABAHAR SALATASI LD
27,66.7,27.9,145.0,0,4,8,12,2380.07,103.76,233.58,44.01,1666.99,12;18;67;3;213;113;29;41;76;6;165;322,ÇİLEK REÇELİ | ELMA SUYU | PORTAKAL SUYU | AYVA REÇELİ | HAVUÇ SUYU LD | AYVA | INCİR REÇELİ | KURU KAYISI | SİYAH ZEYTIN | BEYAZ PEYNIR | ETLİ BEZELYE | PİLİÇ IZGARA
28,66.5,17.19,365.0,1,5,8,11,2186.85,53.67,252.66,28.02,1531.57,6;331;248;265;44;79;236;217;47;237;111,BEYAZ PEYNIR | PORTAKAL SUYU LD | KARPUZ | KİVİ | LOR PEYNİRİ | SÜT | İÇ PİLAV | HAYDARİ | MERCİMEK ÇORBASI | İMAMBAYILDI | AŞURE
29,65.0,15.57,335.0,0,4,10,12,1971.73,51.03,250.56,38.45,1631.83,88;84;362;52;44;113;29;41;170;369;234;294,VİŞNE SUYU | TAM BUĞDAY EKMEK | ŞEFTALİ SUYU LD | ÖRGÜ PEYNİRİ | LOR PEYNİRİ | AYVA | INCİR REÇELİ | KURU KAYISI | ETLİ TÜRLÜ | TEL ŞEHRİYE ÇORBASI | ISPANAKLI PATATES ÇORBASI | MELEK PİLAVI
30,65.0,15.4,372.0,0,4,9,11,2356.14,87.61,205.66,18.18,1898.47,331;39;79;86;248;341;147;356;214;342;294,PORTAKAL SUYU LD | KREP | SÜT | ÜZÜM PEKMEZİ | KARPUZ | SARAY ÇORBASI | DOMATES SALATALIK SÖĞÜŞ LD | SOYA SOSLU PİLİÇ KAVURMA | HAVUÇ TARATOR | SEBZE ÇORBASI | MELEK PİLAVI
